,FIPS,Name,Type,TimeFrame,Data (M),Population,Region
0,WORLD,WORLD,World,2019,7772.85,7772850000,WORLD
1,AFRICA,AFRICA,Sub-Region,2019,1337.918,1337918000,AFRICA
2,NORTHERN AFRICA,NORTHERN AFRICA,Sub-Region,2019,244.34400000000002,244344000,NORTHERN AFRICA
9,EH,Western Sahara,Country,2019,0.597,597000,NORTHERN AFRICA
10,WESTERN AFRICA,WESTERN AFRICA,Sub-Region,2019,401.115,401115000,WESTERN AFRICA
14,CI,Cote d'Ivoire,Country,2019,26.175,26175000,WESTERN AFRICA
27,EASTERN AFRICA,EASTERN AFRICA,Sub-Region,2019,444.97,444970000,EASTERN AFRICA
37,YT,Mayotte,Country,2019,0.284,284000,EASTERN AFRICA
39,RE,Reunion,Country,2019,0.861,861000,EASTERN AFRICA
48,MIDDLE AFRICA,MIDDLE AFRICA,Sub-Region,2019,179.757,179757000,MIDDLE AFRICA
54,CD,"Congo, Dem. Rep.",Country,2019,89.568,89568000,MIDDLE AFRICA
58,SOUTHERN AFRICA,SOUTHERN AFRICA,Sub-Region,2019,67.732,67732000,SOUTHERN AFRICA
60,SZ,eSwatini,Country,2019,1.104,1104000,SOUTHERN AFRICA
64,NORTHERN AMERICA,NORTHERN AMERICA,Sub-Region,2019,368.19300000000004,368193000,NORTHERN AMERICA
67,LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN,Sub-Region,2019,651.036,651036000,LATIN AMERICA AND THE CARIBBEAN
68,CENTRAL AMERICA,CENTRAL AMERICA,Sub-Region,2019,178.611,178611000,CENTRAL AMERICA
71,SV,El Salvador,Country,2019,6.481,6481000,CENTRAL AMERICA
73,HN,Honduras,Country,2019,9.863999999999999,9864000,CENTRAL AMERICA
77,CARIBBEAN,CARIBBEAN,Sub-Region,2019,43.233000000000004,43233000,CARIBBEAN
82,CW,Curacao,Country,2019,0.155,155000,CARIBBEAN
90,PR,Puerto Rico,Country,2019,3.1889999999999996,3189000,CARIBBEAN
91,KN,St. Kitts-Nevis,Country,2019,0.054000000000000006,54000,CARIBBEAN
92,LC,Saint Lucia,Country,2019,0.182,182000,CARIBBEAN
93,VC,St. Vincent and the Grenadines,Country,2019,0.111,111000,CARIBBEAN
95,SOUTH AMERICA,SOUTH AMERICA,Sub-Region,2019,429.191,429191000,SOUTH AMERICA
109,ASIA,ASIA,Sub-Region,2019,4625.927,4625927000,ASIA
110,WESTERN ASIA,WESTERN ASIA,Sub-Region,2019,280.927,280927000,WESTERN ASIA
115,GE,Georgia,Country,2019,3.715,3715000,WESTERN ASIA
121,OM,Oman,Country,2019,4.713,4713000,WESTERN ASIA
129,CENTRAL ASIA,CENTRAL ASIA,Sub-Region,2019,74.961,74961000,CENTRAL ASIA
135,SOUTH ASIA,SOUTH ASIA,Sub-Region,2019,1967.131,1967131000,SOUTH ASIA
145,SOUTHEAST ASIA,SOUTHEAST ASIA,Sub-Region,2019,661.845,661845000,SOUTHEAST ASIA
146,BN,Brunei,Country,2019,0.469,469000,SOUTHEAST ASIA
155,TL,Timor-Leste,Country,2019,1.318,1318000,SOUTHEAST ASIA
157,EAST ASIA,EAST ASIA,Sub-Region,2019,1641.0629999999999,1641063000,EAST ASIA
159,HK,"China, Hong Kong SAR",Country,2019,7.494,7494000,EAST ASIA
160,MO,"China, Macao SAR",Country,2019,0.6859999999999999,686000,EAST ASIA
166,EUROPE,EUROPE,Sub-Region,2019,746.622,746622000,EUROPE
167,NORTHERN EUROPE,NORTHERN EUROPE,Sub-Region,2019,105.99,105990000,NORTHERN EUROPE
168,Channel Islands,Channel Islands,Sub-Region,2019,0.172,172000,NORTHERN EUROPE
179,WESTERN EUROPE,WESTERN EUROPE,Sub-Region,2019,195.479,195479000,WESTERN EUROPE
189,EASTERN EUROPE,EASTERN EUROPE,Sub-Region,2019,291.902,291902000,EASTERN EUROPE
192,CZ,Czechia,Country,2019,10.716,10716000,EASTERN EUROPE
200,SOUTHERN EUROPE,SOUTHERN EUROPE,Sub-Region,2019,153.251,153251000,SOUTHERN EUROPE
210,MK,North Macedonia,Country,2019,2.08,2080000,SOUTHERN EUROPE
216,OCEANIA,OCEANIA,Sub-Region,2019,43.155,43155000,OCEANIA
220,PF,French Polynesia,Country,2019,0.28,280000,OCEANIA
221,GU,Guam,Country,2019,0.175,175000,OCEANIA
225,NC,New Caledonia,Country,2019,0.295,295000,OCEANIA
227,PW,Palau,Country,2019,0.018000000000000002,18000,OCEANIA
229,WS,Samoa,Country,2019,0.2,200000,OCEANIA
